                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8151,                 3.0411,                 1.4439,                0.25733,                 0.4897,                0.42511,                0.25636,                 1.2839,                 2.1022,                 1.2714,             0.00023495,             0.00023495,             0.00023495
                      2,                 1.4044,                 1.7933,                 1.2447,                0.49022,                0.80266,                0.67716,                0.44376,                 1.2831,                 1.5484,                 1.2806,             0.00046827,             0.00046827,             0.00046827
                      3,                 1.3102,                 1.4862,                 1.2183,                 0.5127,                0.82827,                 0.7154,                0.49368,                  1.187,                 1.9083,                 1.2627,             0.00069687,             0.00069687,             0.00069687
                      4,                  1.267,                  1.345,                 1.2131,                0.57873,                0.78713,                0.66519,                0.44694,                 1.2462,                 2.0968,                 1.3496,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.2488,                 1.2253,                 1.1947,                0.69307,                 0.7025,                0.81321,                0.56781,                 1.0557,                  1.098,                 1.1944,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1874,                 1.1304,                 1.1657,                0.80085,                 0.8283,                0.91685,                0.62782,                 1.2068,                0.95549,                 1.3032,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1789,                 1.0694,                 1.1622,                0.81738,                0.90441,                0.92597,                0.66353,                 1.0179,                0.80626,                 1.1686,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1554,                 1.0403,                 1.1635,                0.79683,                0.89469,                 0.9429,                0.64223,                 1.2028,                0.84208,                  1.233,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1262,                0.98439,                 1.1413,                0.79234,                0.92087,                0.97138,                0.69584,                 1.0452,                0.83344,                 1.1588,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.1094,                0.93678,                 1.1254,                0.87952,                0.90787,                0.95152,                0.70817,                 1.0262,                0.69839,                 1.1495,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0903,                0.89189,                 1.1254,                0.79283,                0.85262,                0.90102,                 0.6434,                 1.0817,                0.81322,                 1.1861,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.0946,                0.87981,                 1.1246,                0.86908,                0.88278,                0.90395,                0.68985,                0.93006,                0.88352,                 1.1017,             0.00064331,             0.00064331,             0.00064331
                     13,                  1.059,                0.85015,                  1.104,                0.93102,                0.96267,                0.98501,                0.70864,                 1.0611,                0.54274,                 1.1528,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.0606,                0.81984,                 1.1034,                0.91724,                0.95835,                0.98157,                0.70233,                 1.1298,                0.61476,                 1.2047,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.0361,                0.80003,                 1.0941,                0.90269,                0.93641,                0.98191,                0.74621,                0.91438,                0.55531,                 1.0897,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.0195,                0.78333,                 1.0859,                0.93757,                0.94098,                0.99132,                0.71302,                 1.1206,                0.52517,                 1.1891,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.0081,                0.76492,                 1.0796,                0.97782,                 0.9742,                 0.9926,                0.75894,                0.91045,                0.46969,                 1.0708,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.0131,                0.78926,                 1.0859,                0.88511,                0.88184,                0.98155,                0.69802,                 1.1343,                0.63494,                 1.2259,              0.0006009,              0.0006009,              0.0006009
                     19,                 0.9892,                0.75704,                 1.0822,                 0.9163,                0.92808,                0.98014,                0.74549,                0.90473,                0.56454,                 1.0698,             0.00059383,             0.00059383,             0.00059383
                     20,                0.95667,                0.70899,                 1.0624,                0.88818,                0.93855,                0.98506,                0.75774,                0.95506,                0.58479,                 1.1095,             0.00058677,             0.00058677,             0.00058677
                     21,                0.95037,                0.71723,                 1.0553,                0.91279,                0.96792,                0.98521,                0.74186,                 1.0064,                0.57813,                 1.1139,              0.0005797,              0.0005797,              0.0005797
                     22,                0.95705,                0.70785,                 1.0667,                0.96312,                0.95452,                0.99412,                0.69042,                 1.1971,                0.53728,                 1.2397,             0.00057263,             0.00057263,             0.00057263
                     23,                0.94126,                 0.6727,                 1.0577,                0.96525,                0.98349,                0.99213,                0.75162,                0.91204,                0.43142,                 1.0868,             0.00056556,             0.00056556,             0.00056556
                     24,                0.92958,                 0.6763,                  1.059,                0.94343,                0.96943,                0.99005,                0.78763,                 0.8094,                0.42351,                 1.0133,             0.00055849,             0.00055849,             0.00055849
                     25,                0.93704,                0.69724,                 1.0539,                0.94531,                0.93744,                0.98672,                0.73281,                 1.0051,                0.49793,                 1.1313,             0.00055142,             0.00055142,             0.00055142
                     26,                0.92011,                0.67469,                 1.0427,                0.94728,                0.98804,                0.99431,                0.77999,                0.87852,                0.44522,                 1.0437,             0.00054435,             0.00054435,             0.00054435
                     27,                0.90418,                0.64829,                 1.0371,                0.90772,                 0.9497,                 0.9849,                0.73291,                 1.0095,                0.53963,                 1.1231,             0.00053728,             0.00053728,             0.00053728
                     28,                0.88677,                0.65092,                 1.0365,                0.93993,                0.95178,                0.99016,                0.75816,                0.90748,                0.45792,                 1.0675,             0.00053022,             0.00053022,             0.00053022
                     29,                0.90378,                0.64848,                 1.0376,                0.94752,                0.96476,                0.99119,                0.76796,                0.88872,                0.46042,                 1.0583,             0.00052315,             0.00052315,             0.00052315
                     30,                0.87339,                0.63392,                 1.0271,                0.96778,                0.97081,                0.98971,                0.77497,                0.85082,                0.41476,                 1.0452,             0.00051608,             0.00051608,             0.00051608
                     31,                0.86975,                0.65483,                 1.0287,                 0.9675,                0.97304,                0.99275,                0.78918,                0.80246,                 0.4119,                 1.0037,             0.00050901,             0.00050901,             0.00050901
                     32,                0.86881,                0.61884,                 1.0252,                0.98437,                0.99192,                0.99459,                0.80283,                0.79132,                 0.3836,                0.99913,             0.00050194,             0.00050194,             0.00050194
                     33,                0.86029,                0.61095,                 1.0203,                0.96388,                0.98784,                0.99086,                0.75312,                0.97965,                 0.4336,                  1.089,             0.00049487,             0.00049487,             0.00049487
                     34,                0.84852,                 0.6082,                 1.0221,                 0.9899,                0.98366,                0.99241,                0.80303,                0.80998,                0.38206,                 1.0093,              0.0004878,              0.0004878,              0.0004878
                     35,                0.82932,                0.59031,                 1.0136,                0.96646,                0.95463,                0.99063,                0.81267,                0.75346,                0.40577,                 1.0016,             0.00048074,             0.00048074,             0.00048074
                     36,                0.83479,                0.59288,                 1.0205,                0.98117,                 0.9701,                0.99072,                0.78931,                0.85215,                0.40277,                 1.0154,             0.00047367,             0.00047367,             0.00047367
                     37,                0.83743,                0.59802,                 1.0142,                0.97066,                0.98833,                 0.9924,                0.78393,                0.87669,                0.42003,                 1.0374,              0.0004666,              0.0004666,              0.0004666
                     38,                0.82237,                0.58636,                  1.017,                0.98576,                0.98302,                0.99386,                 0.8098,                  0.739,                0.38099,                0.97052,             0.00045953,             0.00045953,             0.00045953
                     39,                0.79978,                0.56131,                0.99752,                0.96202,                0.98551,                0.99031,                0.81122,                 0.7347,                0.36314,                0.96483,             0.00045246,             0.00045246,             0.00045246
                     40,                0.79436,                0.55466,                 1.0001,                 0.9726,                0.98702,                0.99445,                0.77624,                0.87521,                0.40282,                 1.0388,             0.00044539,             0.00044539,             0.00044539
                     41,                0.79645,                0.57415,                 1.0024,                0.91938,                  0.978,                0.99114,                 0.7714,                0.89813,                0.45902,                 1.0819,             0.00043832,             0.00043832,             0.00043832
                     42,                0.78539,                0.55469,                0.99506,                0.99447,                0.98677,                0.99403,                0.81597,                0.75365,                 0.3504,                0.97006,             0.00043126,             0.00043126,             0.00043126
                     43,                0.79276,                0.56876,                 1.0029,                0.98139,                0.97857,                 0.9949,                0.80446,                0.81742,                0.37694,                 1.0138,             0.00042419,             0.00042419,             0.00042419
                     44,                0.78583,                0.55731,                0.99634,                0.98778,                 0.9958,                  0.995,                0.82672,                0.72239,                  0.362,                0.96925,             0.00041712,             0.00041712,             0.00041712
                     45,                0.78094,                0.54397,                  0.998,                0.97566,                 0.9819,                0.99298,                0.81474,                0.74945,                0.36972,                0.97214,             0.00041005,             0.00041005,             0.00041005
