                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9953,                 4.1285,                 1.7528,                0.10514,                0.70001,                0.13047,                0.07131,                 1.5403,                 2.5878,                 1.3374,             0.00023562,             0.00023562,             0.00023562
                      2,                 1.4586,                 2.6978,                 1.2977,                0.29628,                0.67569,                0.38713,                0.21456,                 1.4627,                 2.2847,                 1.3899,             0.00046893,             0.00046893,             0.00046893
                      3,                 1.3891,                 2.2522,                 1.2822,                0.28422,                0.69387,                0.34226,                0.18505,                 1.5554,                 2.2243,                 1.4981,             0.00069753,             0.00069753,             0.00069753
                      4,                 1.3895,                 1.9679,                 1.2901,                0.29525,                0.53882,                0.33882,                0.19276,                 1.3369,                 2.9131,                  1.369,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.3354,                 1.7276,                 1.2829,                0.64684,                0.76277,                0.75337,                0.43723,                 1.4688,                 1.3281,                 1.5024,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.2943,                 1.4704,                 1.2614,                0.58488,                0.78949,                0.76433,                0.50605,                 1.2134,                 1.3574,                 1.3365,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.2779,                 1.3832,                 1.2685,                0.63232,                 0.8093,                0.79019,                0.52406,                 1.2091,                 1.1748,                 1.3248,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.2436,                 1.3091,                 1.2428,                0.69151,                0.70598,                0.76801,                0.47104,                 1.3708,                 1.3636,                 1.4197,             0.00067159,             0.00067159,             0.00067159
                      9,                  1.253,                 1.1943,                 1.2428,                0.76227,                0.75257,                0.87872,                0.56414,                 1.2799,                 1.0267,                 1.3687,             0.00066452,             0.00066452,             0.00066452
                     10,                  1.213,                 1.1096,                 1.2275,                0.86724,                0.78302,                0.90664,                0.50252,                 1.5681,                0.91633,                 1.5827,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.2308,                 1.0933,                 1.2291,                0.71641,                0.80308,                0.87165,                0.58255,                 1.2112,                 1.0666,                 1.3103,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.2058,                 1.0302,                 1.2285,                0.80523,                 0.8497,                0.91769,                0.60244,                 1.2699,                0.87099,                 1.3495,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.2042,                0.98512,                 1.2171,                0.79582,                0.87066,                0.93802,                0.58772,                 1.3474,                0.84821,                 1.3995,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.1787,                0.93353,                 1.2109,                0.83439,                 0.8458,                0.94612,                0.63127,                 1.2121,                0.79777,                 1.3172,             0.00062918,             0.00062918,             0.00062918
                     15,                  1.148,                 0.9013,                 1.1844,                 0.9105,                 0.9195,                0.97206,                0.64809,                  1.226,                0.64676,                 1.3212,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1683,                0.91216,                 1.2026,                0.85113,                0.84568,                0.93462,                0.64268,                 1.1536,                0.80045,                 1.2858,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.1482,                0.87667,                 1.1825,                0.89052,                0.92863,                0.96691,                0.65277,                  1.192,                0.66672,                 1.3076,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.1541,                0.84396,                 1.1933,                0.92378,                0.90828,                0.98063,                 0.6916,                 1.0958,                0.62219,                 1.2463,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.1314,                0.82285,                 1.1782,                 0.8656,                 0.8876,                0.94042,                0.64436,                 1.1741,                0.75223,                 1.2933,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.1296,                0.82307,                 1.1883,                0.88538,                0.89734,                0.96409,                0.66567,                 1.1377,                0.67427,                 1.2745,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.1218,                0.78579,                 1.1729,                0.91239,                0.90105,                0.96467,                0.66767,                 1.1204,                  0.646,                 1.2653,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.1152,                0.79408,                  1.177,                0.85603,                0.82071,                0.93396,                0.63854,                 1.1572,                0.80949,                 1.2833,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.1032,                 0.7585,                  1.171,                0.94562,                 0.9342,                0.98246,                 0.6804,                 1.1451,                0.55093,                 1.2762,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.0989,                0.76847,                 1.1638,                0.96223,                0.94818,                0.98802,                0.68068,                 1.1789,                0.53137,                 1.2989,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.0835,                0.75267,                 1.1535,                0.90344,                0.90552,                0.97146,                0.68013,                 1.1269,                0.63676,                 1.2699,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.0867,                0.73211,                 1.1563,                0.82995,                0.82132,                0.91589,                0.64366,                 1.1227,                0.81735,                 1.2693,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.0725,                0.72101,                 1.1486,                0.84637,                0.82276,                0.93054,                0.64207,                 1.1291,                0.83077,                 1.2718,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.0579,                0.72228,                 1.1468,                0.84277,                0.89246,                0.96244,                0.67473,                 1.1117,                0.68297,                 1.2597,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.0602,                 0.7092,                 1.1495,                0.95876,                0.96854,                0.98523,                0.71048,                 1.0625,                0.47243,                 1.2281,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.0475,                0.69142,                 1.1341,                0.96772,                0.96239,                0.98901,                0.68296,                 1.1755,                0.48533,                 1.2857,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.0445,                0.69127,                 1.1435,                0.87561,                0.87108,                0.96607,                0.68388,                 1.0936,                0.68044,                 1.2427,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.0435,                0.67472,                  1.132,                0.90628,                0.87896,                0.96926,                0.68285,                 1.1052,                0.62559,                 1.2573,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.0121,                0.66269,                 1.1158,                0.93347,                0.92475,                0.97739,                0.69864,                 1.0794,                0.53838,                 1.2419,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.0317,                0.67774,                 1.1268,                0.87185,                0.86848,                0.94356,                 0.6678,                 1.1108,                 0.6707,                 1.2545,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.0114,                0.66044,                 1.1204,                0.95552,                0.93501,                0.98464,                 0.7025,                  1.081,                 0.5047,                 1.2409,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.0006,                0.65445,                 1.1162,                0.95349,                0.93328,                0.98406,                 0.6926,                  1.125,                0.51071,                 1.2791,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.0196,                0.65055,                 1.1268,                0.91189,                0.89639,                0.96675,                0.69197,                  1.066,                0.56534,                 1.2271,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.0182,                0.65679,                 1.1181,                0.92732,                0.94386,                0.97909,                0.70931,                 1.0582,                0.50266,                 1.2276,             0.00045953,             0.00045953,             0.00045953
                     39,                  1.005,                0.64098,                 1.1203,                0.96984,                0.94237,                0.98903,                0.73508,                0.98834,                0.44585,                 1.1831,             0.00045246,             0.00045246,             0.00045246
                     40,                 0.9672,                0.62101,                 1.1062,                0.95201,                0.95368,                0.98234,                0.68452,                 1.1527,                0.49301,                 1.3022,             0.00044539,             0.00044539,             0.00044539
                     41,                0.98103,                0.61155,                 1.0999,                0.92125,                0.90475,                0.96635,                0.69506,                 1.0611,                0.57595,                 1.2371,             0.00043832,             0.00043832,             0.00043832
                     42,                0.97307,                 0.6195,                 1.1023,                0.94795,                0.94007,                0.97733,                0.73065,                 0.9938,                0.48652,                  1.184,             0.00043126,             0.00043126,             0.00043126
                     43,                0.95702,                0.60241,                 1.0902,                0.94062,                0.94958,                0.98263,                0.71138,                 1.0454,                0.48068,                 1.2353,             0.00042419,             0.00042419,             0.00042419
                     44,                0.95043,                0.59607,                 1.0899,                0.93515,                0.91613,                0.97859,                0.69088,                 1.1253,                0.53403,                 1.2741,             0.00041712,             0.00041712,             0.00041712
                     45,                 0.9453,                0.60335,                 1.0886,                0.95867,                0.93792,                0.98471,                 0.7176,                 1.0293,                 0.4755,                 1.2098,             0.00041005,             0.00041005,             0.00041005
                     46,                0.94196,                0.61541,                 1.0862,                0.96914,                0.94638,                   0.99,                0.73767,                0.99681,                0.44362,                 1.1889,             0.00040298,             0.00040298,             0.00040298
                     47,                0.91674,                0.58271,                  1.084,                0.95122,                0.92502,                0.98376,                0.71471,                 1.0281,                0.48747,                 1.2178,             0.00039591,             0.00039591,             0.00039591
                     48,                0.91616,                0.58697,                 1.0753,                0.95728,                0.97157,                0.98907,                0.73549,                0.96271,                0.41442,                 1.1778,             0.00038884,             0.00038884,             0.00038884
                     49,                 0.9154,                0.59003,                 1.0769,                0.95303,                0.95442,                0.98315,                0.70939,                 1.0799,                0.45858,                  1.262,             0.00038178,             0.00038178,             0.00038178
                     50,                0.90831,                0.57268,                 1.0642,                0.95207,                0.95823,                0.98845,                0.75187,                0.93902,                0.42688,                  1.156,             0.00037471,             0.00037471,             0.00037471
                     51,                0.88278,                0.55783,                 1.0673,                 0.9742,                0.95968,                  0.991,                0.74925,                0.94845,                0.41285,                 1.1664,             0.00036764,             0.00036764,             0.00036764
                     52,                 0.8865,                0.55077,                 1.0542,                0.96475,                0.94942,                0.98731,                0.73346,                 1.0004,                0.44713,                 1.2071,             0.00036057,             0.00036057,             0.00036057
                     53,                0.89521,                0.56994,                 1.0712,                0.99148,                 0.9816,                0.99354,                0.75666,                0.93585,                0.36689,                 1.1562,              0.0003535,              0.0003535,              0.0003535
                     54,                0.86047,                0.55287,                 1.0541,                0.92883,                0.92837,                0.96657,                0.70637,                 1.0294,                0.51994,                   1.23,             0.00034643,             0.00034643,             0.00034643
                     55,                0.86267,                0.54381,                 1.0451,                0.95874,                0.98126,                0.99106,                0.73135,                0.99818,                0.40034,                 1.2159,             0.00033936,             0.00033936,             0.00033936
                     56,                 0.8594,                0.54863,                 1.0474,                0.97495,                0.98421,                0.99122,                0.76474,                0.91975,                0.37359,                 1.1463,              0.0003323,              0.0003323,              0.0003323
                     57,                0.86066,                0.54936,                 1.0509,                0.97333,                0.96698,                0.98922,                0.74777,                0.96401,                0.40725,                 1.1777,             0.00032523,             0.00032523,             0.00032523
                     58,                0.84609,                0.53348,                 1.0346,                0.97235,                0.94502,                0.98914,                0.74165,                0.96946,                0.41493,                 1.1879,             0.00031816,             0.00031816,             0.00031816
                     59,                0.85256,                0.55545,                 1.0578,                0.96803,                0.97163,                0.99025,                 0.7375,                0.99005,                0.39609,                 1.2045,             0.00031109,             0.00031109,             0.00031109
                     60,                0.82826,                0.52251,                 1.0389,                0.94722,                0.92314,                0.98506,                0.72436,                 1.0236,                0.46337,                 1.2306,             0.00030402,             0.00030402,             0.00030402
                     61,                0.81213,                0.52186,                 1.0294,                0.95003,                0.93037,                0.97713,                0.74758,                0.93229,                0.47495,                 1.1652,             0.00029695,             0.00029695,             0.00029695
                     62,                0.81432,                0.51308,                 1.0284,                0.98758,                0.97684,                0.99237,                0.78091,                0.88238,                0.35365,                 1.1255,             0.00028988,             0.00028988,             0.00028988
                     63,                0.81901,                0.52535,                 1.0283,                 0.9561,                 0.9457,                0.98959,                0.74062,                 0.9888,                0.42421,                 1.1957,             0.00028282,             0.00028282,             0.00028282
                     64,                0.81755,                0.51148,                 1.0279,                0.97299,                0.96269,                0.99001,                0.75493,                 0.9508,                0.39617,                 1.1799,             0.00027575,             0.00027575,             0.00027575
                     65,                0.80335,                0.51325,                 1.0238,                0.93855,                0.93169,                0.97949,                0.73279,                0.99047,                0.46954,                 1.2131,             0.00026868,             0.00026868,             0.00026868
                     66,                0.78732,                0.49813,                 1.0178,                0.97927,                0.95874,                0.99054,                0.75535,                0.94098,                0.39166,                 1.1713,             0.00026161,             0.00026161,             0.00026161
                     67,                0.80994,                0.50662,                 1.0212,                0.97836,                0.96755,                0.99311,                0.77026,                0.90409,                0.37013,                 1.1424,             0.00025454,             0.00025454,             0.00025454
                     68,                0.79842,                0.51122,                 1.0232,                 0.9652,                0.96637,                0.99084,                0.75866,                 0.9375,                0.39159,                 1.1715,             0.00024747,             0.00024747,             0.00024747
